id	initL	initR	finalL	finalR	message (DEL=deleted NOC=no change MOD=modified)
380	0	20881	0	20880	MOD	skipped 0 overlaps; used 59 overlaps
381	0	2139	16	2118	MOD	skipped 0 overlaps; used 20 overlaps
382	0	1238	0	1238	NOC	skipped 0 overlaps; used 28 overlaps
383	0	6097	40	6096	MOD	skipped 0 overlaps; used 30 overlaps
384	0	9049	0	8903	MOD	skipped 0 overlaps; used 90 overlaps
385	0	13833	0	13816	MOD	skipped 0 overlaps; used 52 overlaps
386	0	6129	5	6128	MOD	skipped 0 overlaps; used 111 overlaps
387	0	1036	0	1025	MOD	skipped 0 overlaps; used 23 overlaps
388	0	6662	0	6662	NOC	skipped 0 overlaps; used 38 overlaps
389	0	27303	22	27303	MOD	skipped 0 overlaps; used 101 overlaps
390	0	2073	0	2073	NOC	skipped 0 overlaps; used 24 overlaps
391	0	3561	9	3535	MOD	skipped 0 overlaps; used 31 overlaps
392	0	4008	12	4008	MOD	skipped 0 overlaps; used 23 overlaps
393	0	4761	0	4760	MOD	skipped 0 overlaps; used 37 overlaps
394	0	16575	9	16574	MOD	skipped 0 overlaps; used 67 overlaps
395	0	0	0	0	NOV
396	0	23952	0	23912	MOD	skipped 0 overlaps; used 307 overlaps
397	0	713	17	689	DEL	skipped 0 overlaps; used 21 overlaps
398	0	4560	0	4560	NOC	skipped 0 overlaps; used 32 overlaps
399	0	2204	24	2177	MOD	skipped 0 overlaps; used 19 overlaps
400	0	2082	0	2080	MOD	skipped 0 overlaps; used 18 overlaps
401	0	2164	7	2105	MOD	skipped 0 overlaps; used 19 overlaps
402	0	0	0	0	NOV
403	0	1436	36	1430	MOD	skipped 0 overlaps; used 20 overlaps
404	0	13763	0	13763	NOC	skipped 0 overlaps; used 116 overlaps
405	0	6113	0	6112	MOD	skipped 0 overlaps; used 36 overlaps
406	0	16446	37	16418	MOD	skipped 0 overlaps; used 59 overlaps
407	0	2702	11	2693	MOD	skipped 0 overlaps; used 21 overlaps
